"",log2FC,lfcSE,Pvalues,FDR
g__GGB28433,-1.8885,1.1092,0.088645,0.26087
g__GGB14014,1.7721,1.0461,0.090274,0.26192
g__GGB28861,-1.2936,0.77791,0.096323,0.27308
g__GGB28409,1.2456,0.75006,0.09677,0.27308
g__Enterorhabdus,0.63133,0.38507,0.10111,0.27789
g__GGB27929,1.0237,0.62455,0.10117,0.27789
g__GGB30449,-2.9128,1.7987,0.10536,0.28559
g__GGB31853,3.6016,2.3045,0.11809,0.31082
g__GGB30290,3.1822,2.0381,0.11845,0.31082
g__GGB28873,-1.7688,1.1352,0.1192,0.31082
g__GGB28893,-1.4068,0.90989,0.12208,0.31241
g__Streptococcus,1.813,1.175,0.12284,0.31241
g__GGB27866,0.79446,0.51902,0.12584,0.31614
g__GGB28853,-1.2637,0.83914,0.13208,0.3233
g__Acetatifactor,-2.2081,1.4758,0.1346,0.3233
g__Oscillibacter,-2.8604,1.9167,0.13561,0.3233
g__GGB28379,2.5795,1.7311,0.13618,0.3233
g__GGB29005,-1.5383,1.0333,0.13654,0.3233
g__GGB28883,-3.9843,2.7568,0.14838,0.34376
g__GGB30475,-0.83449,0.57759,0.14852,0.34376
g__GGB28310,-1.1676,0.82447,0.15673,0.35875
g__GGB28869,-1.7534,1.2553,0.16248,0.36782
g__GGB29003,-2.2804,1.7014,0.18014,0.40336
g__GGB28836,-3.8299,2.8854,0.18439,0.40356
g__GGB30451,-0.87882,0.66518,0.18645,0.40356
g__GGB28887,-3.5754,2.7127,0.18751,0.40356
g__GGB28924,-1.7841,1.3553,0.18807,0.40356
g__GGB29546,-3.5138,2.6821,0.19017,0.40387
g__GGB28763,-2.8406,2.1819,0.19295,0.40389
g__Neglecta,-2.0222,1.5658,0.19654,0.40389
g__GGB27890,0.79674,0.62164,0.19996,0.40389
g__GGB28437,-3.6952,2.8856,0.20034,0.40389
g__GGB28852,-0.88109,0.68971,0.20144,0.40389
g__GGB28802,-1.8341,1.4374,0.20194,0.40389
g__GGB28846,-0.89745,0.70848,0.20525,0.40656
g__GGB28828,-2.2704,1.8559,0.2212,0.43398
g__GGB28841,-1.7904,1.473,0.22417,0.43565
g__GGB28793,1.4679,1.2666,0.2465,0.47458
g__Turicibacter,1.8225,1.6185,0.26014,0.4962
g__GGB28416,3.081,2.7773,0.26727,0.50512
g__GGB28946,-2.5083,2.3036,0.27622,0.51729
g__GGB28930,-0.53837,0.49718,0.27888,0.51756
g__Lachnospiraceae_unclassified,-0.668,0.6273,0.28694,0.52776
g__GGB28898,-1.5887,1.5609,0.30879,0.56293
g__GGB28845,1.7398,1.7285,0.31418,0.5643
g__GGB30296,-1.0727,1.0705,0.31631,0.5643
g__GGB30408,-0.58717,0.58772,0.31776,0.5643
g__GGB1503,-1.7196,1.7489,0.32549,0.57308
g__Schaedlerella,-2.2872,2.3432,0.32903,0.57441
g__GGB28419,-1.8473,1.9413,0.34131,0.59083
g__GGB29531,0.3522,0.37556,0.34834,0.59551
g__GGB30286,-0.29992,0.3214,0.35072,0.59551
g__GGB31109,0.61571,0.66602,0.35524,0.59551
g__GGB28956,0.66034,0.71478,0.35557,0.59551
g__Firmicutes_unclassified,-0.80878,0.88595,0.3613,0.59582
g__GGB29622,-0.86953,0.95699,0.36356,0.59582
g__Bacteria_unclassified,0.66655,0.73493,0.36443,0.59582
g__GGB28411,2.0506,2.2859,0.36969,0.59965
g__GGB28911,-1.7244,2.0079,0.39046,0.6261
g__GGB31835,1.8824,2.1995,0.39207,0.6261
g__Pseudoflavonifractor,0.56557,0.66515,0.39516,0.62618
g__GGB28991,-1.4559,1.7401,0.40278,0.62926
g__GGB28399,-1.1862,1.419,0.40321,0.62926
g__GGB31701,0.94698,1.1583,0.4136,0.64062
g__GGB27792,0.46158,0.57699,0.42372,0.64926
g__GGB31108,0.70117,0.87984,0.42549,0.64926
g__Ligilactobacillus,0.71864,0.92451,0.43697,0.66061
g__GGB42343,-0.54067,0.69916,0.43934,0.66061
g__GGB28926,-0.49874,0.66118,0.45066,0.67272
g__GGB28839,1.448,2.0609,0.48232,0.70893
g__GGB30300,-1.5639,2.226,0.48232,0.70893
g__Roseburia,-1.2897,1.848,0.48524,0.70893
g__Dorea,-0.83386,1.2097,0.49063,0.71177
g__GGB30302,0.41126,0.60747,0.49841,0.71798
g__GGB28769,-0.58407,0.8765,0.50518,0.72268
g__GGB28645,1.5019,2.282,0.51044,0.72518
g__GGB28383,-1.8742,2.8854,0.516,0.72805
g__GGB28960,0.61695,0.96501,0.52262,0.73076
g__GGB27480,-1.1804,1.8571,0.52502,0.73076
g__GGB28980,-0.63904,1.0157,0.52926,0.73173
g__GGB28387,-1.4204,2.3157,0.53962,0.74108
g__GGB42619,-1.2077,2.007,0.54734,0.7467
g__GGB28422,-1.1695,1.9885,0.55643,0.75412
g__GGB28968,-0.22664,0.3906,0.56175,0.75635
g__GGB28949,-0.4979,0.87459,0.56916,0.76134
g__GGB28950,1.1145,2.0685,0.59002,0.78416
g__GGB27914,0.60151,1.1721,0.60783,0.78639
g__GGB30459,0.3484,0.68411,0.61056,0.78639
g__GGB31850,-1.055,2.0723,0.61069,0.78639
g__GGB31256,-1.0368,2.064,0.61544,0.78639
g__GGB28404,-0.71587,1.4291,0.61642,0.78639
g__GGB30448,-0.34165,0.68819,0.61957,0.78639
g__GGB31440,0.81508,1.6624,0.62392,0.78639
g__GGB30048,0.4619,0.94665,0.6256,0.78639
g__GGB28818,-0.79265,1.6267,0.62605,0.78639
g__GGB28786,-0.56983,1.2022,0.6355,0.78837
g__GGB28394,1.056,2.2526,0.63923,0.78837
g__GGB30147,-0.54484,1.1627,0.63936,0.78837
g__GGB28398,-1.1258,2.4285,0.64294,0.78837
g__GGB28787,0.73173,1.724,0.67125,0.81821
g__GGB30091,-0.73568,1.7676,0.67726,0.82068
g__GGB24102,0.32097,0.79879,0.68782,0.8286
g__GGB30142,0.32418,0.86356,0.70736,0.84044
g__GGB30445,-1.0214,2.7424,0.70955,0.84044
g__GGB28988,1.0621,2.8551,0.70988,0.84044
g__GGB28948,-0.15632,0.44827,0.7273,0.85614
g__GGB30297,0.39976,1.2248,0.74413,0.87056
g__GGB28621,0.2442,0.7601,0.74801,0.87056
g__GGB31312,-0.30446,1.027,0.76689,0.88752
g__GGB29009,-0.3904,1.3786,0.77703,0.89424
g__GGB28798,-0.70733,2.5989,0.7855,0.89896
g__GGB28881,0.13017,0.51822,0.80168,0.91241
g__GGB28901,-0.58412,2.399,0.80763,0.91413
g__GGB25052,-0.21795,0.92142,0.81301,0.9152
g__GGB31438,0.10895,0.50603,0.82953,0.92845
g__GGB28386,0.3215,1.5322,0.83381,0.92845
g__GGB28879,-0.32017,1.6159,0.84294,0.92898
g__GGB28959,-0.16519,0.83565,0.8433,0.92898
g__GGB30301,-0.13885,0.7267,0.84848,0.92971
g__GGB28765,-0.14012,0.90857,0.87743,0.95026
g__GGB29002,-0.073361,0.48873,0.88068,0.95026
g__GGB28916,-0.43169,2.8854,0.88107,0.95026
g__GGB31851,-0.13775,1.0389,0.89452,0.95587
g__GGB28963,-0.10833,0.86094,0.89987,0.95587
g__GGB28849,-0.086777,0.69189,0.90019,0.95587
g__GGB27778,-0.059738,0.54993,0.9135,0.96118
g__GGB29004,0.18813,1.9969,0.92494,0.96118
g__GGB28945,0.099596,1.0998,0.92785,0.96118
g__GGB28248,-0.069154,0.76412,0.92789,0.96118
g__GGB28330,0.14948,1.7963,0.93368,0.96118
g__GGB30413,0.16506,2.0996,0.93734,0.96118
g__GGB31439,0.05507,0.70823,0.93802,0.96118
g__GGB42344,0.19486,2.7025,0.94252,0.96118
g__GGB30444,0.13598,2.4339,0.95545,0.96526
g__GGB30454,0.024882,0.44985,0.95589,0.96526
g__GGB28766,-0.017498,0.49913,0.97203,0.97678
g__GGB31822,-0.046841,1.7589,0.97875,0.97875
