"",log2FC,lfcSE,Pvalues,FDR
g__Prevotella,3.1695,0.43476,3.0937e-13,6.3731e-11
g__GGB28792,-15.427,2.1599,9.1629e-13,9.4378e-11
g__Clostridiales_unclassified,4.7539,0.85857,3.0763e-08,2.1124e-06
g__GGB24148,1.8888,0.3587,1.3977e-07,6.1277e-06
g__Muribaculum,2.9207,0.55588,1.4873e-07,6.1277e-06
g__GGB31184,4.5494,0.873,1.8763e-07,6.1314e-06
g__GGB31179,4.9433,0.95215,2.0835e-07,6.1314e-06
g__GGB27893,2.2766,0.46995,1.2697e-06,3.2694e-05
g__GGB27885,2.7133,0.57491,2.3639e-06,5.4108e-05
g__GGB27849,2.3587,0.52258,6.3751e-06,0.00013133
g__GGB28791,-4.6098,1.0332,8.1262e-06,0.00015218
g__GGB28790,-4.0084,0.90466,9.385e-06,0.00016003
g__GGB27892,1.912,0.43306,1.0099e-05,0.00016003
g__GGB24146,1.8245,0.43223,2.4309e-05,0.00035264
g__GGB28870,-2.2837,0.54261,2.5677e-05,0.00035264
g__GGB31841,11.101,2.6717,3.2527e-05,0.00041878
g__GGB33432,3.9737,0.99299,6.2887e-05,0.00076204
g__GGB14001,1.8166,0.48108,0.00015928,0.0017632
g__Bacteroides,2.6632,0.70624,0.00016262,0.0017632
g__Odoribacter,1.4039,0.3822,0.00023945,0.0024664
g__Muribaculaceae_unclassified,1.6123,0.45753,0.00042507,0.0041698
g__GGB28996,-1.9635,0.58793,0.00083869,0.0078532
g__Duncaniella,1.5029,0.45254,0.00089659,0.0080304
g__Emergencia,1.2397,0.38037,0.001117,0.009588
g__Atopobiaceae_unclassified,5.172,1.6512,0.0017352,0.014298
g__GGB27782,2.2167,0.71263,0.0018673,0.014795
g__GGB28888,-2.0286,0.65504,0.0019553,0.014918
g__Paramuribaculum,1.4589,0.48396,0.0025744,0.01894
g__GGB27872,1.6651,0.55609,0.0027504,0.019537
g__GGB30457,-1.1561,0.39069,0.0030844,0.02118
g__GGB24149,1.4343,0.49459,0.0037325,0.024803
g__GGB47127,1.5535,0.5542,0.0050604,0.032576
g__Eggerthellaceae_unclassified,1.5047,0.5447,0.0057359,0.035806
g__GGB28934,-1.8462,0.67993,0.0066213,0.040118
g__GGB30461,-1.1467,0.43513,0.0084077,0.049485
g__Acutalibacter,-1.891,0.72251,0.0088623,0.050712
g__Adlercreutzia,0.86423,0.33617,0.010146,0.056486
g__GGB28903,-2.1092,0.83163,0.011205,0.059217
g__Parasutterella,2.0766,0.81883,0.011211,0.059217
g__GGB24132,1.4275,0.56933,0.012166,0.062653
g__Clostridiaceae_unclassified,-1.7103,0.68501,0.012534,0.062976
g__Turicimonas,4.6208,1.9242,0.016329,0.080091
g__GGB28779,1.3606,0.57237,0.017444,0.081719
g__GGB28904,-1.215,0.51114,0.017455,0.081719
g__GGB28831,-1.3412,0.60127,0.025709,0.11734
g__Limosilactobacillus,1.3381,0.60186,0.026201,0.11734
g__GGB28955,-1.5881,0.72441,0.028359,0.12336
g__GGB30145,-1.2502,0.57164,0.028745,0.12336
g__GGB28782,-3.3588,1.5547,0.030744,0.12925
g__GGB27876,1.3347,0.62282,0.032118,0.13197
g__GGB27861,1.1022,0.51668,0.03291,0.13197
g__Lactobacillus,1.3213,0.62084,0.033314,0.13197
g__GGB29001,-1.4246,0.68196,0.036708,0.14268
g__GGB30303,-2.3842,1.1711,0.041764,0.15932
g__GGB30473,0.54248,0.27222,0.046282,0.17083
g__GGB28428,-1.703,0.8552,0.04644,0.17083
g__GGB42586,-1.7693,0.90758,0.051237,0.18205
g__Erysipelatoclostridium,4.486,2.3013,0.051258,0.18205
g__GGB30466,-0.79251,0.40983,0.053145,0.18556
g__GGB29683,-4.8913,2.5455,0.054668,0.18769
g__GGB28927,-1.0633,0.55553,0.055619,0.18783
g__GGB29549,-5.4984,2.8854,0.056704,0.18841
g__GGB30460,1.2022,0.64113,0.060775,0.19872
g__GGB28894,-3.4973,1.8797,0.062814,0.19979
g__GGB28784,-5.3639,2.8855,0.063042,0.19979
g__GGB30295,-2.6477,1.4333,0.064713,0.20198
g__GGB28392,-4.038,2.2102,0.067698,0.20814
g__GGB28772,2.1916,1.2638,0.0829,0.25114
g__GGB28864,-1.9779,1.1572,0.087399,0.26087
