"",log2FC,lfcSE,Pvalues,FDR
g__GGB28792,-4.3497,2.8855,0.13169,0.29645
g__Limosilactobacillus,-1.1606,0.77058,0.13203,0.29645
g__Dorea,-2.3328,1.5577,0.13424,0.2986
g__GGB31838,4.188,2.8854,0.14666,0.3232
g__GGB31184,1.3719,0.95425,0.15053,0.32842
g__Oscillibacter,-2.6527,1.8513,0.1519,0.32842
g__GGB28881,-1.5336,1.0736,0.15317,0.32842
g__GGB30459,2.9326,2.0909,0.16075,0.34008
g__GGB28782,-3.2857,2.3545,0.16288,0.34008
g__Muribaculaceae_unclassified,0.85108,0.60992,0.16289,0.34008
g__Pseudoflavonifractor,1.517,1.0919,0.16474,0.34093
g__Erysipelatoclostridium,2.0544,1.484,0.16624,0.34107
g__GGB28955,1.3173,0.96007,0.17004,0.34589
g__GGB29546,3.636,2.6996,0.17801,0.35703
g__GGB28310,1.0256,0.76236,0.17851,0.35703
g__GGB27890,0.96011,0.71898,0.18175,0.36048
g__GGB31701,1.5489,1.2433,0.21284,0.41789
g__GGB30457,-0.84648,0.68151,0.21421,0.41789
g__GGB28841,2.425,1.9621,0.2165,0.41893
g__GGB28963,-1.8857,1.69,0.26452,0.50735
g__GGB28849,-0.82502,0.74268,0.26663,0.50735
g__GGB28330,2.4271,2.2019,0.27034,0.50735
g__GGB28793,-2.2289,2.0237,0.27073,0.50735
g__GGB28887,-2.4221,2.2101,0.27311,0.50782
g__GGB27778,-0.63965,0.59082,0.27897,0.51222
g__GGB31851,0.73661,0.68457,0.28192,0.51222
g__GGB28839,-1.3863,1.2899,0.28248,0.51222
g__GGB27866,-0.56885,0.53305,0.2859,0.51222
g__Staphylococcus,-3.0768,2.8858,0.28635,0.51222
g__GGB28901,-3.0183,2.843,0.28839,0.51222
g__GGB28645,-1.5092,1.4349,0.29291,0.51639
g__GGB28356,-2.9364,2.8854,0.30884,0.53658
g__Lachnospiraceae_unclassified,0.59835,0.58801,0.30887,0.53658
g__GGB28883,-2.507,2.5047,0.31687,0.5442
g__GGB31109,0.82231,0.8232,0.31783,0.5442
g__GGB30466,0.63661,0.66456,0.33809,0.57475
g__GGB28996,-1.7406,1.8477,0.34616,0.5843
g__Mammaliicoccus,-2.6952,2.8858,0.35032,0.58716
g__GGB30408,-0.69188,0.75578,0.35995,0.59908
g__GGB31438,0.54355,0.60722,0.3707,0.61269
g__GGB27480,-0.87917,1.0112,0.38462,0.6284
g__GGB31256,1.9616,2.2604,0.38549,0.6284
g__Acetatifactor,-1.8687,2.2108,0.39795,0.64431
g__GGB28386,-0.89475,1.0849,0.40954,0.65859
g__GGB31108,1.3489,1.697,0.42671,0.65865
g__GGB28392,-1.8218,2.2931,0.42692,0.65865
g__GGB30301,0.5159,0.6507,0.42787,0.65865
g__GGB30449,-2.0553,2.6005,0.42933,0.65865
g__GGB30451,-0.65505,0.82992,0.42994,0.65865
g__GGB28948,-0.61739,0.78415,0.43108,0.65865
g__GGB30295,-0.96677,1.2303,0.43199,0.65865
g__GGB28980,1.4153,1.8041,0.43274,0.65865
g__GGB31440,1.0537,1.3482,0.43449,0.65865
g__GGB28433,-1.0608,1.3668,0.43765,0.65925
g__GGB28956,0.4938,0.65808,0.45303,0.6768
g__GGB1503,-1.0319,1.3812,0.45499,0.6768
g__GGB30145,-0.6337,0.86623,0.46444,0.6839
g__GGB28398,-1.1867,1.6338,0.46764,0.6839
g__GGB29004,-1.6439,2.267,0.46838,0.6839
g__Enterorhabdus,0.32163,0.45593,0.48054,0.69416
g__GGB28791,-0.96909,1.3759,0.48124,0.69416
g__GGB31850,1.4166,2.0295,0.48517,0.69561
g__GGB28456,-1.9167,2.8854,0.50651,0.72185
g__GGB28945,1.0044,1.5286,0.51115,0.72413
g__GGB28786,-1.7325,2.743,0.52764,0.74306
g__GGB28422,-0.78281,1.2524,0.53193,0.7447
g__Schaedlerella,-1.2997,2.0969,0.53536,0.74513
g__Duncaniella,0.38774,0.6384,0.54361,0.7522
g__GGB28960,0.78999,1.3135,0.54756,0.75329
g__Romboutsia,1.7159,2.8854,0.55206,0.75512
g__GGB28869,-1.5335,2.6477,0.56246,0.76495
g__GGB28950,-0.96496,1.7119,0.57297,0.77482
g__GGB28968,0.36799,0.67189,0.5839,0.77786
g__GGB42343,0.61144,1.119,0.58479,0.77786
