#NAME	2WT-2m_S1	3WT-2m_S1	5WT-2m_S2	8WT-2m_S3	9WT-2m_S4	10WT-2m_S5	2AD-2m_S6	4AD-2m_S2	5AD-2m_S7	8AD-2m_S8	9AD-2m_S9	10AD-2m_S10	2WT-6m_S11	3WT-6m_S1	5WT-6m_S12	8WT-6m_S2	9WT-6m_S3	10WT-6m_S4	2AD-6m_S5	4AD-6m_S7	5AD-6m_S6	8AD-6m_S8	9AD-6m_S9	10AD-6m_S10	2WT-12m_S1	5WT-12m_S2	6WT-12m_S4	8WT-12m_S3	9WT-12m_S5	10WT-12m_S6	2AD-12m_S7	5AD-12m_S8	6AD-12m_S9	8AD-12m_S10	9AD-12m_S11	10AD-12m_S12
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_unclassified;s__Lachnospiraceae_bacterium_10_1	32234	470164	27528	680274	620600	465996	56832	529940	367576	410788	1497730	311600	3430266	1803626	105730	32268	440242	172504	87402	423662	206736	141900	489730	307286	52166	596100	2598002	48722	304936	62490	362114	54650	97818	805464	1209156	532822
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_unclassified;s__Lachnospiraceae_bacterium	549862	715880	2161580	995428	772176	774488	1428098	417218	131758	427168	847484	657326	1358598	705182	546172	397660	842072	586028	712068	686734	610792	638108	604396	2071312	442074	297804	2359478	972084	1028538	293466	654340	1461358	1293314	1057680	2344412	557988
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB29009;s__GGB29009_SGB41729	67192	449976	320880	240124	506710	341980	177614	92182	66180	391794	177640	413926	584792	567296	28140	274672	479750	196088	216602	3428	0	161402	118148	858688	56962	138392	3139638	344716	642430	124906	254464	1906	1555690	0	734518	213934
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB29006;s__GGB29006_SGB41724	0	0	0	0	1608	2144	0	11930	0	0	0	1902	0	0	1216	0	0	0	0	131470	0	0	640194	0	1660	7162	0	0	0	0	0	1283870	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB29005;s__GGB29005_SGB41723	306306	965700	2860768	507024	138508	693636	1807140	1133214	221326	776050	42162	5154610	1935414	2960730	288512	108172	3849450	64374	306666	22840	906610	376214	24622	369732	3854	82276	18530	1280596	57276	452392	1198638	1776	6710	0	1818048	1171860
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28968;s__GGB28968_SGB41679	4406	20278	63638	27154	16500	2412	6646	12512	5968	26078	28050	24166	25466	17728	15580	17208	23272	9480	4080	8694	10658	12608	14656	11210	3788	4664	14880	12666	22826	74	13650	53532	40284	34802	28492	5314
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28963;s__GGB28963_SGB41672	2592	7522	133922	0	64158	35170	43458	3364	0	2416	8718	5318	32276	1146	13568	8958	50896	5606	15216	526	22496	2332	11610	13492	5204	1272	6000	14726	17408	3752	51526	0	2906	3364	18502	29634
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28960;s__GGB28960_SGB41669	6658	8394	3696	20542	37740	3216	83684	4908	0	22708	17122	36736	88610	20708	69212	41830	55800	4466	8404	10438	2568	3852	118130	188082	4474	56036	70864	53244	105650	5040	51536	0	108066	390000	129000	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28927;s__GGB28927_SGB41625	22810	109926	1774228	140050	303862	93802	16628	7054	6514	33368	18014	46616	59990	102064	82430	24820	67918	16164	31802	18544	9042	5940	17724	45588	19058	8472	450790	48188	44156	5478	22380	0	60500	51444	116350	6788
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28926;s__GGB28926_SGB41623	16854	23330	55136	84452	15290	8464	50872	3846	67100	38336	66480	47318	41832	43304	31986	8214	107550	15090	22512	10730	27742	29748	2828	17140	6154	16470	119476	37514	119818	13862	72562	29226	38806	64710	114682	6510
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28924;s__GGB28924_SGB41621	36886	162194	56304	88032	31874	20396	131582	21504	7364	40544	13440	40076	377220	63688	62332	384	263544	19456	45888	6784	0	10418	52958	25298	28494	27748	117602	100968	16758	8122	22516	0	21404	59260	40760	2246
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28916;s__GGB28916_SGB41612	31818	60742	0	0	14456	71814	132096	0	0	0	0	89672	0	31320	0	0	9200	15540	25882	0	0	0	0	15864	50562	0	25354	0	50888	3366	6608	0	12104	0	4440	2686
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28911;s__GGB28911_SGB41605	13054	65726	0	122348	0	75534	0	0	0	1266	0	3426	19958	2704	35558	2798	8654	25474	22058	1180	0	0	0	94	20506	1988	2050	0	0	25130	0	0	2684	0	238	560
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28879;s__GGB28879_SGB41559	2568	5052	243096	65576	66534	33408	558	0	0	0	0	2024	26856	29058	5270	20704	11706	4726	27776	886	0	5956	0	34866	3046	71092	27928	570	9856	2422	0	0	7060	0	23020	572
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28875;s__GGB28875_SGB41555	0	0	0	0	1908	0	0	0	0	0	0	0	630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6476	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28873;s__GGB28873_SGB41553	0	1055224	2186316	1168342	542486	416260	8804	4334	16720	0	0	10510	355816	202524	1213016	15882	143422	3914	304612	7562	30910	52878	3258	35638	4786	43420	0	85852	0	40382	0	0	9486	0	285416	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28870;s__GGB28870_SGB41549	9178	59748	1291200	53346	47588	46068	286	3738	0	0	2770	372	20716	0	28042	9982	0	30142	194	0	0	2134	0	5432	38250	8022	0	2954	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28870;s__GGB28870_SGB41546	8530	87560	98100	27294	27584	60280	0	2160	0	0	15174	30696	88198	35744	47114	66300	55652	28234	16576	5278	0	8568	4174	12450	15342	8532	26722	14844	41228	4726	0	0	19168	0	37680	6450
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28870;s__GGB28870_SGB41545	6488	48282	330954	40404	75072	46820	32446	7558	1918	12574	1832	17054	66374	77466	17864	120290	58248	21968	28420	12238	2822	5232	6246	12434	36460	20062	43222	31978	23012	8924	8962	0	46962	33254	34376	1498
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28869;s__GGB28869_SGB41543	0	5396	61556	21774	0	0	1812	2308	0	0	11816	3382	21368	12270	44358	31002	14382	1470	16516	4774	1194	650	0	6476	3826	6110	4242	11722	18250	962	12532	0	17074	1310	36878	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28868;s__GGB28868_SGB41542	0	0	0	2238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28864;s__GGB28864_SGB41535	0	13058	185378	28514	38326	6934	0	4606	188	2536	8396	17026	43218	56962	0	43700	39674	19528	11590	4364	6422	2856	6506	6872	22188	982	11352	35626	0	19234	1604	0	2510	17380	15018	1330
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28861;s__GGB28861_SGB41531	66104	180514	588308	323010	145146	246392	48160	73212	113172	435814	217716	132136	409406	546968	16992	353338	196590	108738	62526	57284	8468	80188	77654	246582	60088	38310	49972	103906	34172	13630	137576	0	114792	85162	149250	19916
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28860;s__GGB28860_SGB41529	14758	25630	0	0	372	98658	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28859;s__GGB28859_SGB41528	0	13012	0	0	0	4594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28856;s__GGB28856_SGB41525	0	11648	20084	7808	5576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28853;s__GGB28853_SGB41521	11502	115594	30846	11554	344438	44964	111376	15072	1202	2072	37176	60920	301444	75574	260474	65872	27700	40120	10814	40386	23784	87786	2212	18900	5602	7476	1061416	7664	9358	496	2244	0	36660	3146	18890	11666
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28852;s__GGB28852_SGB41519	3436	5208	9082	5282	7938	3224	7148	410	48312	1906	11234	17330	16558	27280	7676	15434	17352	11030	4966	7954	13170	1756	4852	1114	1150	4516	30280	5402	13812	11456	5686	12872	15334	648	8594	28988
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28851;s__GGB28851_SGB41518	3418	710	11910	3756	12656	6914	0	0	0	0	0	0	0	0	0	814	0	0	0	0	0	0	0	0	0	1906	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28849;s__GGB28849_SGB41516	2942	4574	69610	11388	37488	10570	10120	4856	8672	4218	11994	17376	16712	58202	18550	11132	15172	7614	6904	9426	35084	10098	5624	18298	5014	4392	25172	5766	9260	0	4384	196482	21612	9664	22470	27710
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28846;s__GGB28846_SGB41513	48912	73390	304934	117282	185556	83370	92824	17922	9440	23500	111544	100040	150372	241916	64894	115502	584598	91428	52118	67560	197214	34010	26498	32956	37950	19972	220076	42320	221868	59210	42360	2416634	53772	160964	82998	418790
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28845;s__GGB28845_SGB41512	0	0	0	0	0	0	136	5034	180	7878	59278	7758	6746	25308	11392	6690	0	0	7128	11892	66870	19346	90	10088	2802	7546	57642	10332	6446	1748	13770	0	4298	0	23554	3954
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28841;s__GGB28841_SGB41505	0	19084	0	1938	3748	6782	68076	49734	0	696	10992	5694	13776	90138	0	652	22008	82372	7188	12920	4098	14810	142	2256	16080	0	93554	142	217988	784	7190	21062	52602	734	3620	326
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28836;s__GGB28836_SGB41496	54840	20186	0	283954	32664	932730	0	4612	0	0	27070	1708	112922	199750	0	51070	0	53948	0	420	0	0	0	28624	118758	0	102754	0	38618	22958	48776	0	14644	0	37532	3820
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28835;s__GGB28835_SGB41494	0	1876	0	0	0	0	0	5738	0	0	0	127012	0	23812	0	58674	41756	9252	0	0	0	20020	0	0	0	0	216992	139346	61090	6192	0	0	13416	78670	113244	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28831;s__GGB28831_SGB41487	138642	83778	1794450	89214	36776	327362	104832	123174	30170	56196	2468	52558	510320	186024	370452	97670	106204	111754	55544	41268	59386	127094	28610	16066	60134	114836	54156	23864	15424	4658	127100	0	100050	145414	117478	24494
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28828;s__GGB28828_SGB41484	116700	343316	26434	3575252	3168294	2791806	68572	106942	277758	132752	176908	1146462	1549522	15260	511562	5945176	411960	1111614	965738	176582	0	406408	0	168760	613004	492444	7628	1840296	3524938	313250	2332	2534	86786	2516432	31160	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28818;s__GGB28818_SGB41473	16970	190760	359588	116482	13966	24848	9616	54672	21976	71622	103822	195796	0	0	78596	86742	82270	35830	51880	18458	10846	18992	9446	18498	3770	52728	6470	58690	85310	63712	113076	0	20078	272434	33638	25556
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28805;s__GGB28805_SGB41459	0	0	0	0	0	0	0	3654	17566	64242	0	346	63048	20074	12472	6526	24500	3222	0	25080	17820	6434	0	25606	1002	38676	297924	30788	21734	24378	61902	0	243954	58880	85262	4036
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28802;s__GGB28802_SGB41455	143266	322526	150856	668726	289392	338278	326366	133122	0	906	969028	430368	320234	25530	514684	736602	620070	112162	409388	5944	0	98904	12154	9384	138690	109478	1680	202466	736572	53206	42780	0	0	0	6914	8826
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28798;s__GGB28798_SGB41451	599644	2406534	11138	2471572	77768	19132	19292	912168	320942	1970186	5804	8380	5302972	1058	2200	1000822	0	408	372926	0	0	12656	1794150	1276	0	209536	75088	1967250	177178	0	0	270	2034624	0	0	534
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28793;s__GGB28793_SGB41446	10086	10796	217836	59140	0	14572	0	404	6352	9812	0	9358	2862	1374	3052	18982	5186	3372	15798	22282	0	8616	22664	4722	0	0	114472	3852	32998	7772	5718	0	0	62404	148184	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28792;s__GGB28792_SGB41445	0	20852	0	0	41670	12558	0	0	0	0	870	3912	31884	30836	2952	0	2542	6218	0	0	0	0	0	0	3104	6732	62	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28791;s__GGB28791_SGB41444	22590	71458	0	79632	22120	22974	4098	5546	888	868	19628	79380	105400	60646	2164592	523680	111142	11422	5616	10976	13776	8852	4982	54936	32596	54616	58798	14584	182750	55084	4796	0	8402	30546	40452	10702
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28790;s__GGB28790_SGB41443	90976	60848	4003304	65526	699540	430184	298626	21868	0	29238	2260	19584	15940	242078	267370	170624	76354	187646	9916	15850	5830	7872	232	2182	4962	275274	13760	0	165776	31610	0	7636	5330	0	58	48744
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28787;s__GGB28787_SGB41440	0	10496	0	69428	48496	16882	518	2484	0	1658	0	4906	45322	26982	12320	6706	14320	25542	1658	0	98944	1308	0	34408	12630	37342	11630	960	100596	1516	942	0	2070	0	18338	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28786;s__GGB28786_SGB41439	14724	8736	0	64174	0	29714	0	30808	0	0	1954	1348	69154	4348	3490	6232	25462	7900	0	6868	8048	3102	16512	7160	1816	0	1518638	24508	17218	8414	4400	0	13620	44768	19216	5804
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28784;s__GGB28784_SGB41437	24980	23698	0	0	23664	80118	11708	576	0	0	196	4048	15950	0	0	0	54024	58622	2558	0	0	0	0	0	8846	6398	0	0	65366	130	1452	0	0	0	5708	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28782;s__GGB28782_SGB41435	1244	0	313106	5308	6150	10382	2902	0	0	0	12190	6132	16046	4012	5200	20870	45940	1586	346	0	0	4114	342	1110	1484	4484	2706	13160	2178	2034	23226	1734	2354	10628	14496	1004
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28781;s__GGB28781_SGB41434	0	0	0	0	0	0	0	0	0	0	0	0	38052	0	0	0	0	0	28256	0	0	0	0	0	20858	0	0	0	0	0	61590	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28772;s__GGB28772_SGB41425	0	2028	7640	24564	0	0	10888	6644	0	12008	9890	7174	858	6670	5438	11018	2234	0	8804	4662	39874	3518	29748	8078	7456	21704	13166	2946	14092	0	53190	0	55010	61918	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28769;s__GGB28769_SGB41421	5430	51016	107188	4106	11924	7978	19192	14014	3632	15976	16250	48480	61270	29424	18342	23466	164550	11764	15700	6652	842	31468	69264	7206	4246	11664	102992	3202	40292	29532	0	0	26270	9342	24518	1758
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28766;s__GGB28766_SGB41417	32984	627658	400924	195256	125716	64304	131958	39608	11004	31418	153146	233674	173892	180236	116064	104120	350370	160296	101766	78988	287338	45722	60580	178872	131960	102672	238054	121424	949760	174714	113572	284	177630	152364	356684	13510
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28766;s__GGB28766_SGB41416	9904	84268	37590	10042	82576	39284	0	4910	0	1678	0	7874	28754	9240	856	16270	9194	3784	3024	0	664	2182	6852	0	8278	0	4404	970	11714	1348	9350	117782	42604	0	2020	5242
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28765;s__GGB28765_SGB41415	0	29464	7192	1548	754	10890	44000	158228	37880	196374	210930	80066	88190	56796	2116	8578	182498	4276	34580	39968	3362	28798	34648	50166	1544	9096	353002	39786	44764	4188	94812	0	252496	169744	224588	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28763;s__GGB28763_SGB41411	8546	125496	268	15780	13188	30600	2324	0	0	0	0	0	9088	9164	4446	3604	11304	36670	7706	0	0	1156	0	0	1436	0	3866	4006	8992	1642	0	0	6306	0	2296	848
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB28621;s__GGB28621_SGB41239	3664	14816	14850	9040	4866	6944	8134	5964	2008	11026	4904	3354	26984	27268	13342	4844	20280	14424	6040	28394	1110	3118	12138	35492	12080	9430	16024	6652	81902	6338	12392	23082	45426	11478	85312	2656
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GGB25041;s__GGB25041_SGB36960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8830	0	0	0	0	420608	739348	0	0	0	0	302246	0	0	14626	342120	0	1168	22434	0	1519050	64224
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__Dorea_sp_5_2	36722	53032	84630	1912	351368	87876	134520	32810	490	0	1550	4288	58186	155794	19364	28734	73380	54458	36136	7240	0	56740	13022	59916	19592	16616	213166	9988	31224	4832	34332	100366	75760	82950	122372	111230
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor_muris	0	8638	25264	6366	3156	0	294	1212	0	0	5718	672	2572	7892	2230	4770	8964	3392	0	592	1890	334	0	1806	1282	2744	1514	800	29588	378	1254	0	4972	2716	1610	722
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__GGB28645;s__GGB28645_SGB41268	46226	13106	21012	29680	2794	15382	0	13382	14342	1578	130	1642	0	0	2374	7316	388	3900	6678	0	0	8564	8604	14042	0	0	0	8544	0	3766	7624	0	0	1306	2318	3466
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium_sp_14_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1868	0	0	0	0	0	0	1720	0	0	0	0	3384	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_unclassified;g__Colidextribacter;s__Colidextribacter_sp_OB_20	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	230	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_unclassified;g__Clostridiales_unclassified;s__Clostridiales_bacterium	0	14464	11230	7556	1938	3468	269228	218974	164704	62854	306072	154574	12134	6090	9138	9602	9404	1844	275650	7996	295268	151392	3292	187662	3698	8570	9184	7916	8468	5206	257326	0	349068	32084	11342	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Family_XIII_Incertae_Sedis;g__Emergencia;s__Emergencia_sp_1XD21_10	32772	32566	24266	37104	3600	9592	27286	39070	12564	17282	19794	24964	15044	8614	11548	19576	9696	16542	37010	15096	25754	22844	21816	17902	19586	25370	15440	46806	17748	33900	26684	9120	29296	49786	27788	25362
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__GGB30147;s__GGB30147_SGB43074	0	3460	0	0	0	0	5202	8388	952	13736	23742	33900	102090	20218	54352	41026	72972	0	18014	19018	30998	6012	22880	27378	17194	6464	127752	13034	23788	0	10476	0	17572	12530	45476	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__GGB30145;s__GGB30145_SGB43072	44490	76154	541674	228840	95374	40520	111456	51718	360	27156	223408	102322	124628	19570	133558	144790	60698	70332	55686	15652	12366	16990	13682	71692	35302	10794	15010	58236	110974	42118	79388	260	18510	81776	58902	6596
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__GGB28991;s__GGB28991_SGB41705	0	65960	0	310814	0	283352	0	208330	27412	229338	0	0	0	5120	434266	75738	377802	224796	0	81730	9610	42480	64118	77202	0	113438	132046	231146	185154	44906	0	0	770938	6994	234454	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__GGB28990;s__GGB28990_SGB41704	44502	243862	137188	0	95402	0	496666	0	0	0	552172	47990	519162	60436	0	0	0	0	3488	0	0	0	0	0	16720	0	134940	0	0	0	199164	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__GGB28988;s__GGB28988_SGB41701	420	1654	1084	0	0	14096	63608	376342	8024	2142	170464	42932	40000	0	5062	0	13198	191398	53050	0	0	25250	323956	0	17828	30228	366554	140932	47430	938	230336	0	756120	0	671250	600
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridiaceae_unclassified;s__Clostridiaceae_bacterium	162302	611574	1639584	657136	360166	326898	160982	21870	5340	6228	57388	112140	284834	273800	802626	317714	156988	274192	92060	23268	146700	109562	7636	84800	82156	223910	148914	67314	280520	49386	47716	581364	43106	284294	153886	46822
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Candidatus_Arthromitus;s__Candidatus_Arthromitus_sp_SFB_mouse	2582	67034	34634	54200	3184	73268	1968	1534	1748	0	2238	0	0	0	0	1272	0	0	0	0	15172	3664	1476	0	0	0	0	0	34	0	0	5486	0	0	168	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__GGB31841;s__GGB31841_SGB45219	0	0	0	0	0	0	256042	48772	2808	46704	207304	2386	0	0	0	0	498	0	50176	2142	420698	36598	71808	0	0	0	0	30448	5148	0	1067386	0	61278	80740	3106	63170
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__GGB31838;s__GGB31838_SGB45216	0	14112	0	0	0	0	97718	0	0	0	1000	40960	0	0	0	0	3898	0	40300	23378	0	0	0	0	0	0	0	0	8198	1906	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__GGB31835;s__GGB31835_SGB45211	0	3896	0	0	0	0	806212	793888	800920	547362	1015698	676484	98302	70678	7578	23828	49998	33860	0	264546	0	0	350848	172	57180	40078	1781528	620634	15594	339740	1622110	3816	830792	731840	451716	646940
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__GGB31822;s__GGB31822_SGB45198	0	15648	0	274116	0	0	164536	1764	646	292	19188	113550	0	4110	275886	36532	18470	55718	55290	22396	5168	0	56786	198460	0	96708	99826	122420	29916	441548	177028	1772	762	4268	129412	2478
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__GGB29683;s__GGB29683_SGB42492	117228	295566	130050	377542	61776	74306	0	0	0	0	0	0	36226	114898	134072	234376	111872	25824	0	0	0	0	18290	0	129262	46314	215822	117450	134664	223574	0	302	0	0	38966	54130
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__GGB28422;s__GGB28422_SGB41005	3022	23736	4966	29136	7832	46174	33110	2396	6248	4692	6056	0	11496	0	1516	12466	9450	5158	0	3672	0	4472	24	2984	254	2306	11554	0	0	1636	1546	0	24484	0	4390	1630
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__GGB28419;s__GGB28419_SGB41002	0	26920	46896	125590	0	62836	7156	0	54222	2704	984	6116	31442	0	70402	6940	19026	8218	0	0	3134	13290	936	7022	0	0	136930	7888	1486	2612	0	0	11160	0	0	1624
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__GGB28418;s__GGB28418_SGB41001	0	0	2604	166	0	15752	0	0	0	0	96	0	1416	0	0	0	6682	3284	0	0	0	0	0	1158	0	0	0	24	760	0	408	0	0	0	0	2014
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__GGB28416;s__GGB28416_SGB40998	31296	514674	0	230	3644	24030	355660	20106	0	14842	21958	33654	11850	2630	0	0	0	13528	177940	258	0	0	3670	8162	4532	0	178296	14448	0	11128	21348	0	570208	0	87610	0
