#NAME	2WT-2m_S1	3WT-2m_S1	5WT-2m_S2	8WT-2m_S3	9WT-2m_S4	10WT-2m_S5	2AD-2m_S6	4AD-2m_S2	5AD-2m_S7	8AD-2m_S8	9AD-2m_S9	10AD-2m_S10	2WT-6m_S11	3WT-6m_S1	5WT-6m_S12	8WT-6m_S2	9WT-6m_S3	10WT-6m_S4	2AD-6m_S5	4AD-6m_S7	5AD-6m_S6	8AD-6m_S8	9AD-6m_S9	10AD-6m_S10	2WT-12m_S1	5WT-12m_S2	6WT-12m_S4	8WT-12m_S3	9WT-12m_S5	10WT-12m_S6	2AD-12m_S7	5AD-12m_S8	6AD-12m_S9	8AD-12m_S10	9AD-12m_S11	10AD-12m_S12
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GGB30466;s__GGB30466_SGB43546	14436	18204	57612	27148	42142	20742	43874	5298	1536	6832	110560	26608	40412	57606	19518	24184	63770	11752	30650	12748	10204	8114	12646	27384	14772	16282	51446	6686	67964	9704	32038	27934	44270	98378	52978	15322
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GGB30466;s__GGB30466_SGB43544	0	0	0	11120	0	0	8334	4586	0	17824	6328	18792	666	4504	11960	1928	0	4154	14026	5414	550	3988	17184	0	2522	0	105996	12410	9840	0	5902	0	18666	4172	25574	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GGB30466;s__GGB30466_SGB43541	3348	46786	73848	25960	99720	30016	39104	21424	4444	25356	16158	32540	92128	54616	11514	30686	62090	20486	1376	11754	2910	9616	18902	18114	19378	4710	90172	16370	18864	4732	13264	15136	63906	25840	65456	5050
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GGB30466;s__GGB30466_SGB43540	0	10112	0	12792	0	0	11484	15304	9588	32182	215562	11958	19046	5248	1838	400	1158	0	7036	0	0	2124	1226	566	2854	8998	23934	10082	13082	0	25576	0	9902	12832	15246	3684
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GGB30461;s__GGB30461_SGB63209	1792	13396	88396	22276	11378	7792	16736	12394	3168	12664	45660	43990	36216	25018	33600	15506	31534	10370	10424	16252	3774	7420	22040	12660	7032	6888	50988	8530	32400	8206	45780	0	16040	62062	78358	1470
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GGB30461;s__GGB30461_SGB43533	31790	82948	721576	513536	152990	93418	38774	3928	1776	16890	178042	9190	148386	51302	173224	129020	39372	110728	66126	17654	7028	19052	52542	39802	18600	18058	36606	51304	11666	12988	21896	138	153480	22628	111594	6090
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GGB30461;s__GGB30461_SGB43531	0	3810	0	0	0	0	0	822	6830	55524	15038	6910	49514	5166	13872	2048	4588	11158	1542	2446	3004	0	7898	0	2446	1974	0	11024	0	1130	3826	0	5734	56978	7322	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GGB30461;s__GGB30461_SGB43530	418	952	215456	23758	7648	6862	8964	0	0	0	0	0	4560	10604	1658	6432	3970	0	242	1830	0	6432	0	9794	0	2222	40144	0	0	0	0	0	1174	0	892	6352
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GGB30461;s__GGB30461_SGB43527	408	1356	36504	5142	5976	0	0	0	0	0	0	0	5274	5784	3066	9382	0	0	2294	0	0	1522	0	442	0	3176	0	2390	3256	684	0	0	21104	626	25142	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GGB30460;s__GGB30460_SGB43526	0	29216	5238	17010	0	1840	58102	42320	13694	55212	70366	59476	61416	13204	15090	11518	37662	3102	21702	62130	17104	9298	37138	37256	1552	16708	42132	79510	50974	2054	256806	0	90064	317746	206498	3482
