"",log2FC,lfcSE,Pvalues,FDR
g__GGB28792,-28.254,3.0032,5.051e-21,1.0405e-18
g__GGB31179,5.9025,1.0369,1.2529e-08,1.2905e-06
g__Bacteroides,5.9119,1.1742,4.7857e-07,3.2862e-05
g__Erysipelatoclostridium,7.7716,1.6001,1.1923e-06,6.1401e-05
g__Turicimonas,3.9289,0.86555,5.6473e-06,0.00023267
g__GGB28945,6.9331,1.6544,2.7803e-05,0.00095457
g__GGB28846,5.2344,1.2948,5.2864e-05,0.0015557
g__GGB42586,-5.5362,1.4504,0.00013509,0.0034786
g__Ligilactobacillus,5.4881,1.4801,0.00020904,0.0047846
g__GGB28849,5.2031,1.4981,0.00051456,0.0106
g__GGB33432,3.2853,0.96008,0.00062176,0.011644
g__GGB27885,3.2883,1.0293,0.0013992,0.024019
g__GGB28894,-4.0158,1.2989,0.0019896,0.031527
g__GGB28968,3.2779,1.0857,0.0025355,0.037307
g__Streptococcus,3.8274,1.3366,0.0041883,0.05752
g__GGB31184,3.0489,1.0773,0.0046517,0.059891
g__GGB28949,2.9891,1.0927,0.0062282,0.071421
g__GGB29622,-4.6567,1.7027,0.0062406,0.071421
g__GGB27893,2.3689,0.88565,0.0074786,0.07844
g__GGB42619,-4.1168,1.5494,0.0078853,0.07844
g__Dorea,2.5096,0.94621,0.0079963,0.07844
g__Lachnospiraceae_unclassified,2.2286,0.87022,0.01044,0.097752
g__GGB29003,-6.4572,2.6319,0.014151,0.12674
g__Lactobacillus,2.8968,1.2026,0.016003,0.13736
g__GGB29001,2.4549,1.0302,0.017172,0.1415
g__GGB28934,-2.6875,1.1459,0.019009,0.15061
g__Clostridiaceae_unclassified,2.4584,1.1105,0.026838,0.20042
g__Clostridiales_unclassified,3.608,1.634,0.027242,0.20042
g__GGB28996,3.5781,1.6493,0.030051,0.21347
g__GGB31440,-5.7308,2.7216,0.035231,0.24192
g__GGB28802,-4.0256,1.9418,0.038158,0.25357
g__GGB25052,2.5864,1.2592,0.039969,0.25606
g__GGB28853,-3.1782,1.5572,0.041255,0.25606
g__GGB31841,5.2241,2.5723,0.042263,0.25606
g__Firmicutes_unclassified,2.1374,1.0619,0.044137,0.25978
g__GGB28786,-3.5731,1.7871,0.045567,0.26075
g__Prevotella,1.3268,0.67404,0.049012,0.27065
g__Limosilactobacillus,2.3671,1.2073,0.049925,0.27065
g__Adlercreutzia,1.3169,0.689,0.055956,0.29556
g__GGB28398,-3.0812,1.7135,0.072146,0.37155
g__GGB28791,-2.0344,1.1507,0.077068,0.37176
g__GGB28392,-5.0404,2.8857,0.080689,0.37176
g__GGB28787,-3.2988,1.8981,0.082226,0.37176
g__GGB28903,-2.0969,1.2091,0.082871,0.37176
g__GGB29002,2.2959,1.3251,0.083164,0.37176
