"",log2FC,lfcSE,Pvalues,FDR
g__GGB29546,4.4003,2.5445,0.083754,0.37176
g__GGB28911,-4.3512,2.5248,0.084818,0.37176
g__GGB28852,1.7208,1.0454,0.099769,0.42817
g__GGB31438,-1.3739,0.8405,0.10212,0.42931
g__GGB30295,-2.8209,1.7812,0.11325,0.45821
g__Muribaculum,1.2093,0.76396,0.11344,0.45821
g__GGB28946,-2.407,1.5315,0.11604,0.45969
g__GGB30460,2.104,1.3591,0.12161,0.47266
g__GGB28621,1.3458,0.91087,0.13955,0.53235
g__GGB27778,-1.2541,0.85857,0.14411,0.53975
g__Oscillibacter,-1.7825,1.2612,0.15756,0.57479
g__GGB30466,0.92739,0.65852,0.15904,0.57479
g__Roseburia,-2.2275,1.6177,0.16854,0.5986
g__Muribaculaceae_unclassified,0.96945,0.73388,0.1865,0.64635
g__Enterorhabdus,0.90959,0.69131,0.18826,0.64635
g__GGB27782,1.2132,0.9353,0.19458,0.6506
g__GGB28879,-2.545,1.9674,0.19581,0.6506
g__GGB30473,0.63181,0.49607,0.20279,0.65432
g__GGB28963,1.6522,1.3164,0.20945,0.65432
g__GGB28784,-3.6123,2.8822,0.21009,0.65432
g__GGB27866,-0.8944,0.71771,0.2127,0.65432
g__GGB29683,-2.4736,1.9854,0.21281,0.65432
g__GGB27892,0.77084,0.63572,0.22531,0.67028
g__GGB30091,1.7232,1.4233,0.22599,0.67028
g__Eggerthellaceae_unclassified,0.6915,0.57332,0.22777,0.67028
g__GGB30408,-0.86579,0.7303,0.23581,0.67554
g__GGB28926,0.92071,0.77713,0.23611,0.67554
g__GGB28782,1.0489,0.89437,0.24088,0.67975
g__GGB29531,0.74563,0.64614,0.24851,0.69179
g__Parasutterella,1.1783,1.0489,0.26128,0.70156
g__GGB31851,1.2073,1.0821,0.26455,0.70156
g__Acetatifactor,-1.4754,1.3251,0.26552,0.70156
g__GGB31822,-1.7173,1.5428,0.26564,0.70156
g__GGB28769,-1.7029,1.5509,0.27221,0.70982
g__GGB28916,-2.3898,2.1968,0.27665,0.71238
g__GGB28864,-1.7573,1.6301,0.28101,0.71466
g__Turicibacter,-0.9958,0.93522,0.28697,0.72093
g__GGB31439,-1.2062,1.1567,0.29705,0.73558
g__GGB28419,-2.9816,2.8854,0.30146,0.73558
g__GGB28870,-1.1739,1.1488,0.30682,0.73558
g__GGB28924,-1.2171,1.1917,0.30709,0.73558
g__GGB30445,-2.2011,2.2024,0.31758,0.75182
g__GGB28433,-1.5678,1.5889,0.32378,0.75182
g__GGB31835,1.036,1.0521,0.32481,0.75182
g__GGB30297,2.5312,2.6171,0.33345,0.75315
g__GGB28883,-2.087,2.2392,0.35132,0.75315
g__GGB1503,-1.2442,1.3377,0.35232,0.75315
g__GGB30413,-1.769,1.9207,0.35704,0.75315
g__GGB28901,-2.1006,2.2854,0.35803,0.75315
g__GGB31701,-1.048,1.1516,0.36278,0.75315
g__GGB28955,-1.3177,1.4484,0.36294,0.75315
g__GGB28828,-1.52,1.6737,0.3638,0.75315
g__GGB14014,1.1408,1.2614,0.3658,0.75315
g__GGB30461,0.76866,0.85321,0.36764,0.75315
g__GGB30142,1.1762,1.3077,0.36838,0.75315
g__Schaedlerella,1.4235,1.5854,0.36926,0.75315
g__GGB30451,1.0649,1.1982,0.37414,0.75562
g__GGB24102,-0.67668,0.7735,0.38167,0.76333
g__GGB14001,0.69983,0.82993,0.39909,0.79051
g__GGB28959,-1.3222,1.6003,0.40866,0.79694
g__GGB30444,-2.2123,2.6857,0.41008,0.79694
g__Neglecta,1.2317,1.5842,0.43688,0.79878
g__GGB30454,-0.93624,1.2108,0.43938,0.79878
g__GGB27480,-2.044,2.6504,0.4406,0.79878
g__GGB28893,-0.9755,1.2705,0.44259,0.79878
g__GGB29005,1.3165,1.7221,0.44461,0.79878
g__GGB28988,1.3823,1.8224,0.44815,0.79878
g__GGB27849,0.70015,0.92687,0.45001,0.79878
g__GGB31850,-1.7727,2.3818,0.4567,0.79878
g__GGB28836,-1.6564,2.2334,0.45829,0.79878
g__GGB28927,-0.94479,1.2772,0.45947,0.79878
g__GGB30459,-0.97432,1.32,0.46044,0.79878
g__GGB28790,-1.6038,2.1765,0.46118,0.79878
g__GGB30286,0.63731,0.87151,0.46461,0.79878
g__GGB30290,1.178,1.6149,0.46572,0.79878
g__GGB28411,1.8757,2.5915,0.46919,0.79878
g__GGB28330,1.1702,1.6327,0.47356,0.79962
g__GGB30448,0.40817,0.59462,0.49243,0.82192
g__GGB28888,-0.54586,0.79946,0.49475,0.82192
g__GGB28416,1.7464,2.6249,0.50584,0.82346
g__GGB27876,-0.60033,0.91667,0.51253,0.82346
g__GGB28960,1.0672,1.6296,0.51254,0.82346
g__GGB42343,0.76812,1.1762,0.51371,0.82346
g__GGB27914,-0.75943,1.1683,0.51566,0.82346
g__GGB30300,-1.2212,1.945,0.53009,0.83666
g__GGB28379,1.1995,1.926,0.53342,0.83666
g__GGB28404,-1.1801,1.9225,0.53931,0.83666
g__GGB28248,-0.44183,0.72349,0.54141,0.83666
g__GGB30147,-1.1165,1.8562,0.5475,0.83666
g__GGB28409,-0.90579,1.5572,0.56077,0.83666
g__GGB28950,1.2623,2.1981,0.56578,0.83666
g__Emergencia,0.37012,0.64673,0.56712,0.83666
g__GGB27792,0.49891,0.87829,0.57001,0.83666
g__GGB30449,-1.1083,1.954,0.57058,0.83666
g__GGB47127,-0.86225,1.5464,0.57712,0.83666
g__GGB28772,1.2328,2.2115,0.57722,0.83666
g__Duncaniella,0.44066,0.79345,0.57864,0.83666
g__GGB28383,-1.5935,2.8855,0.58079,0.83666
g__GGB28765,0.91994,1.6911,0.58644,0.83769
g__Paramuribaculum,-0.4488,0.83209,0.58964,0.83769
g__GGB27861,-0.36626,0.72529,0.61357,0.85037
g__GGB28887,0.97564,1.9556,0.61786,0.85037
g__GGB28386,1.1315,2.275,0.61892,0.85037
g__GGB31109,-0.45681,0.92002,0.61953,0.85037
g__Bacteria_unclassified,-0.30485,0.61648,0.62095,0.85037
g__GGB27872,0.38282,0.77945,0.62333,0.85037
g__GGB28763,-1.0729,2.2665,0.63596,0.85425
g__GGB28818,0.61706,1.3166,0.63931,0.85425
g__GGB28930,-0.69476,1.4951,0.64215,0.85425
g__GGB28399,-1.2076,2.6035,0.64276,0.85425
g__GGB30048,0.732,1.6146,0.6503,0.85872
g__GGB28422,1.0275,2.3111,0.65661,0.86154
g__GGB28898,-1.0884,2.5423,0.66857,0.86773
g__GGB31312,0.39063,0.9159,0.66975,0.86773
g__GGB30301,0.48229,1.161,0.67784,0.87043
g__GGB28831,0.51639,1.2531,0.68029,0.87043
g__GGB28845,-0.62531,1.5833,0.69289,0.88109
g__GGB28861,0.43843,1.1759,0.70927,0.89638
g__GGB28881,0.41148,1.1747,0.72613,0.91127
g__GGB30145,-0.3019,0.87441,0.7299,0.91127
g__GGB28948,0.40024,1.2367,0.74621,0.92253
g__GGB31108,-0.49422,1.5417,0.74854,0.92253
g__GGB28798,-0.85351,2.8854,0.76738,0.92253
g__GGB28980,-0.37572,1.2956,0.77181,0.92253
g__GGB28428,-0.47507,1.6947,0.77923,0.92253
g__Pseudoflavonifractor,0.43053,1.5486,0.78101,0.92253
g__GGB31853,-0.74006,2.6703,0.78167,0.92253
g__GGB28839,0.34731,1.2693,0.78437,0.92253
g__Acutalibacter,-0.35036,1.2821,0.78465,0.92253
g__GGB24149,0.21286,0.77928,0.78474,0.92253
g__GGB28779,0.40922,1.5795,0.79557,0.92253
g__GGB29009,-0.36904,1.439,0.79759,0.92253
g__GGB30475,-0.28631,1.123,0.79876,0.92253
g__GGB28904,0.18061,0.74441,0.8083,0.92253
g__GGB28793,0.61901,2.5727,0.80986,0.92253
g__GGB24146,0.17074,0.71236,0.81058,0.92253
g__Odoribacter,-0.11142,0.58573,0.84914,0.9574
g__GGB24132,-0.15667,0.83125,0.85051,0.9574
g__GGB28869,0.2525,1.5857,0.87348,0.96951
g__GGB28645,0.40492,2.8854,0.8884,0.96951
g__GGB27890,-0.16529,1.2762,0.89695,0.96951
g__GGB28956,-0.16066,1.2632,0.89879,0.96951
g__GGB24148,-0.10723,0.85588,0.90029,0.96951
g__GGB42344,-0.35604,2.8858,0.90181,0.96951
g__GGB28394,-0.25545,2.0944,0.90292,0.96951
g__GGB28437,-0.35168,2.8854,0.90299,0.96951
g__Atopobiaceae_unclassified,0.17742,1.4699,0.90393,0.96951
g__GGB28841,-0.19454,1.6894,0.90832,0.96951
g__GGB30457,-0.059045,0.64992,0.92761,0.98316
g__GGB29004,-0.20874,2.3989,0.93066,0.98316
g__GGB28310,-0.06066,0.83686,0.94222,0.99029
g__GGB31256,0.1394,2.8854,0.96147,0.99372
g__GGB28991,0.07626,2.3224,0.97381,0.99372
g__GGB28873,-0.091356,2.8854,0.97474,0.99372
g__GGB30302,0.041438,1.3333,0.97521,0.99372
g__GGB28766,0.021999,0.77598,0.97738,0.99372
g__GGB30296,-0.055022,2.2123,0.98016,0.99372
g__GGB27929,-0.021052,0.95178,0.98235,0.99372
g__GGB30303,0.018913,1.1621,0.98702,0.99372
g__GGB28387,0.023241,2.8854,0.99357,0.99372
g__GGB29549,-0.02272,2.8854,0.99372,0.99372
