Species	2WT-6m_S11	3WT-6m_S1	5WT-6m_S12	8WT-6m_S2	9WT-6m_S3	10WT-6m_S4	2AD-6m_S5	4AD-6m_S7	5AD-6m_S6	8AD-6m_S8	9AD-6m_S9	10AD-6m_S10
s__GGB31184_SGB44478	8732	4776	1122	1378	8288	18144	28818	18126	328604	121534	103150	25990
s__GGB30454_SGB43516	116728	41880	128868	90210	55544	35434	7394	7094	1920	9142	17890	40892
s__Acutalibacter_muris	102748	2500	754742	262408	130530	85840	33904	42420	4994	7900	29444	18286
s__GGB28870_SGB41545	66374	77466	17864	120290	58248	21968	28420	12238	2822	5232	6246	12434
s__GGB28792_SGB41445	31884	30836	2952	0	2542	6218	0	0	0	0	0	0
s__GGB28791_SGB41444	105400	60646	2164592	523680	111142	11422	5616	10976	13776	8852	4982	54936
s__GGB28790_SGB41443	15940	242078	267370	170624	76354	187646	9916	15850	5830	7872	232	2182
s__Clostridiales_bacterium	12134	6090	9138	9602	9404	1844	275650	7996	295268	151392	3292	187662
s__GGB31841_SGB45219	0	0	0	0	498	0	50176	2142	420698	36598	71808	0
s__GGB33432_SGB65123	75624	172826	6988	2672	80912	70964	1762198	959176	5852	646500	481736	879960
s__GGB27849_SGB40283	151882	175364	22218	29014	133836	142956	425854	424194	385846	330150	331230	346158
s__GGB27782_SGB40196	13192	22736	47410	12988	14710	35164	38834	8498	222246	64270	81626	65632
s__Prevotella_sp_MGM1	668092	895394	293304	549090	552672	480090	3001478	1383608	5154776	5213688	3923300	3259392
s__Muribaculum_intestinale	191058	345286	53012	165478	252008	601670	825344	721576	2027154	814552	1096866	987292
s__Muribaculum_gordoncarteri	640916	1066722	123380	521724	597700	873396	3559224	7490348	1551830	3003052	2795360	3676564
s__GGB27893_SGB40327	46116	31724	48576	57276	56054	95696	163886	61316	341424	203958	219082	179958
s__GGB27885_SGB40319	20770	8342	9362	16498	4288	13340	28848	27984	70922	22326	142448	45244
s__Bacteroides_acidifaciens	166550	31116	111644	172046	51428	183966	193748	144876	226470	318690	1929530	639832
s__Atopobiaceae_bacterium_FL090493	2628	3484	0	0	25924	7020	256518	378438	115574	17782	13788	15352
s__GGB31179_SGB44472	3278	35880	2644	1800	7008	12704	15432	66892	523040	321980	399628	90406
